NAME,DISTRICT
Somerset Precinct 02-001,4
Somerset Precinct 05-001,4
Somerset Precinct 03-001,4
Somerset Precinct 13-003,4
Somerset Precinct 13-002,4
Somerset Precinct 13-001,4
Somerset Precinct 01-002,4
Somerset Precinct 01-003,4
Somerset Precinct 15-002,4
Somerset Precinct 01-001,4
Somerset Precinct 15-001,4
Worcester Precinct 01-001,4
Somerset Precinct 04-001,4
Worcester Precinct 01-002,4
Dorchester Precinct 18-001,4
Dorchester Precinct 11-001,4
Dorchester Precinct 13-002,4
Dorchester Precinct 17-001,4
Dorchester Precinct 14-002,4
Wicomico Precinct 17-001,4
Dorchester Precinct 03-001,4
Cecil Precinct 05-003,6
Kent Precinct 01-002,4
Cecil Precinct 02-001,4
Cecil Precinct 02-002,6
Cecil Precinct 05-002,6
Cecil Precinct 09-001,6
Cecil Precinct 05-004,6
Cecil Precinct 05-001,6
Cecil Precinct 03-002,6
Cecil Precinct 03-003,6
Cecil Precinct 04-001,6
Cecil Precinct 03-001,6
Cecil Precinct 04-002,6
Worcester Precinct 04-001,4
Worcester Precinct 02-001,4
Worcester Precinct 04-002,4
Worcester Precinct 01-003,4
Worcester Precinct 02-002,4
Wicomico Precinct 15-001,4
Wicomico Precinct 16-002,4
Wicomico Precinct 08-004,4
Wicomico Precinct 08-003,4
Wicomico Precinct 13-003,4
Wicomico Precinct 13-001,4
Wicomico Precinct 09-004,4
Wicomico Precinct 09-002,4
Wicomico Precinct 13-002,4
Wicomico Precinct 08-002,4
Wicomico Precinct 05-002,4
Wicomico Precinct 09-001,4
Wicomico Precinct 08-001,4
Wicomico Precinct 05-004,4
Wicomico Precinct 05-003,4
Wicomico Precinct 05-005,4
Wicomico Precinct 11-002,4
Wicomico Precinct 11-001,4
Wicomico Precinct 05-006,4
Anne Arundel Precinct 07-025,7
Anne Arundel Precinct 07-003,7
Anne Arundel Precinct 07-010,7
Anne Arundel Precinct 07-019,7
Anne Arundel Precinct 07-006,7
Wicomico Precinct 05-007,4
Wicomico Precinct 06-001,4
Wicomico Precinct 04-001,4
Wicomico Precinct 14-001,4
Worcester Precinct 04-003,4
Worcester Precinct 02-003,4
Worcester Precinct 03-003,4
Worcester Precinct 06-002,4
Worcester Precinct 05-002,4
Worcester Precinct 05-001,4
Worcester Precinct 03-001,4
Worcester Precinct 06-001,4
Worcester Precinct 06-003,4
Montgomery Precinct 04-007,8
Montgomery Precinct 04-006,8
Montgomery Precinct 04-027,8
Montgomery Precinct 04-009,8
Montgomery Precinct 13-051,8
Montgomery Precinct 04-034,8
Montgomery Precinct 13-043,8
Montgomery Precinct 13-045,8
Montgomery Precinct 13-036,8
Montgomery Precinct 13-037,8
Montgomery Precinct 13-035,8
Montgomery Precinct 13-064,8
Montgomery Precinct 13-052,8
Montgomery Precinct 08-003,8
Montgomery Precinct 13-046,8
Montgomery Precinct 08-004,8
Montgomery Precinct 08-008,8
Montgomery Precinct 08-009,8
Montgomery Precinct 08-001,8
Montgomery Precinct 08-012,8
Montgomery Precinct 08-005,8
Montgomery Precinct 01-002,8
Montgomery Precinct 12-003,8
Montgomery Precinct 12-001,8
Montgomery Precinct 01-001,8
Howard Precinct 04-003,8
Frederick Precinct 14-001,8
Frederick Precinct 03-001,8
Frederick Precinct 23-001,8
Frederick Precinct 24-003,8
Frederick Precinct 03-003,8
Frederick Precinct 24-001,8
Frederick Precinct 02-015,8
Frederick Precinct 26-001,8
Washington Precinct 07-002,8
Washington Precinct 07-001,8
Washington Precinct 14-001,8
Washington Precinct 14-002,8
Frederick Precinct 10-001,8
Frederick Precinct 15-001,8
Frederick Precinct 15-002,8
Frederick Precinct 04-001,8
Frederick Precinct 07-002,8
Frederick Precinct 09-001,8
Frederick Precinct 09-006,8
Frederick Precinct 13-001,8
Frederick Precinct 09-007,8
Frederick Precinct 09-004,8
Frederick Precinct 09-002,8
Frederick Precinct 09-005,8
Frederick Precinct 26-002,8
Frederick Precinct 11-001,8
Frederick Precinct 08-001,8
Frederick Precinct 17-001,8
Frederick Precinct 18-001,8
Howard Precinct 04-001,8
Frederick Precinct 18-002,8
Carroll Precinct 13-001,8
Carroll Precinct 13-002,8
Howard Precinct 04-005,8
Carroll Precinct 09-002,8
Frederick Precinct 19-001,8
Carroll Precinct 12-001,8
Carroll Precinct 11-001,8
Frederick Precinct 24-002,8
Frederick Precinct 03-002,8
Frederick Precinct 16-001,8
Frederick Precinct 06-001,8
Frederick Precinct 21-001,8
Frederick Precinct 02-014,8
Frederick Precinct 02-006,8
Frederick Precinct 01-002,8
Frederick Precinct 02-016,8
Frederick Precinct 23-003,8
Frederick Precinct 02-012,8
Frederick Precinct 23-002,8
Frederick Precinct 02-004,8
Frederick Precinct 02-017,8
Frederick Precinct 02-008,8
Frederick Precinct 02-013,8
Frederick Precinct 02-001,8
Frederick Precinct 02-002,8
Frederick Precinct 02-005,8
Frederick Precinct 02-009,8
Frederick Precinct 02-011,8
Frederick Precinct 07-004,8
Frederick Precinct 09-003,8
Frederick Precinct 02-003,8
Frederick Precinct 02-007,8
Frederick Precinct 02-018,8
Frederick Precinct 09-008,8
Frederick Precinct 13-002,8
Frederick Precinct 21-002,8
Frederick Precinct 21-003,8
Frederick Precinct 02-010,8
Frederick Precinct 20-001,8
Washington Precinct 08-001,8
Frederick Precinct 12-001,8
Frederick Precinct 22-001,8
Washington Precinct 19-001,8
Washington Precinct 06-002,8
Washington Precinct 06-001,8
Washington Precinct 16-001,8
Washington Precinct 02-001,8
Washington Precinct 23-001,8
Washington Precinct 26-003,8
Washington Precinct 26-001,8
Washington Precinct 24-001,8
Washington Precinct 26-002,8
Washington Precinct 10-002,8
Washington Precinct 24-002,8
Washington Precinct 03-004,8
Washington Precinct 03-003,8
Washington Precinct 03-002,8
Washington Precinct 13-001,8
Washington Precinct 25-004,8
Washington Precinct 25-002,8
Washington Precinct 13-002,8
Washington Precinct 10-004,8
Washington Precinct 10-001,8
Washington Precinct 03-001,8
Washington Precinct 25-001,8
Washington Precinct 22-001,8
Washington Precinct 17-002,8
Washington Precinct 17-001,8
Washington Precinct 22-002,8
Washington Precinct 10-003,8
Washington Precinct 21-002,8
Washington Precinct 21-003,8
Washington Precinct 27-001,8
Washington Precinct 21-001,8
Washington Precinct 27-002,8
Washington Precinct 18-002,8
Washington Precinct 18-003,8
Washington Precinct 18-001,8
Washington Precinct 09-001,8
Charles Precinct 03-001,7
Charles Precinct 02-001,7
Charles Precinct 10-001,7
Charles Precinct 07-002,7
Charles Precinct 07-003,7
Charles Precinct 07-001,7
Charles Precinct 07-004,7
St. Mary's Precinct 03-004,7
St. Mary's Precinct 03-003,7
Charles Precinct 01-002,7
Charles Precinct 04-002,7
Charles Precinct 01-003,7
Charles Precinct 01-004,7
Charles Precinct 05-001,7
Charles Precinct 04-001,7
Charles Precinct 08-001,7
Charles Precinct 06-001,7
Charles Precinct 06-014,7
Allegany Precinct 29-002,8
Allegany Precinct 06-006,8
