NAME,PRECINCT,DEMOCRAT,REPUBLICAN,CNG02,COUNTY,LEG02,VTD,MCD,STATE,VTD_1,PLACE,UNADJPOP,ADJ_POPULA,ADJ_WHITE,ADJ_BLACK,ADJ_AMINDI,ADJ_ASIAN,ADJ_HAWAII,ADJ_OTHER,ADJ_18__PO,ADJ2_RACES,UNADJHISP,ADJ_18__WH,ADJ_18__BL,ADJ_18__IN,ADJ_18__AS,ADJ_18__HW,ADJ_18__OT,HU_OCCUPIE,HOUSING_UN
Somerset Precinct 02-001,02-001,142,154,2401,24039,2438A,2403902-001,2403990168,24,02-001,,523,527.00000,421.00000,101.00000,0.00000,3.00000,0.00000,0.00000,408.00000,2.00000,4.00000,329.00000,75.00000,0.00000,2.00000,0.00000,0.00000,220.00000,272.00000
Somerset Precinct 05-001,05-001,241,300,2401,24039,2438A,2403905-001,2403990444,24,05-001,,891,895.00000,713.00000,167.00000,3.00000,3.00000,0.00000,4.00000,730.00000,5.00000,7.00000,594.00000,126.00000,3.00000,3.00000,0.00000,2.00000,377.00000,469.00000
Somerset Precinct 03-001,03-001,386,475,2401,24039,2438A,2403903-001,2403990260,24,03-001,,1491,1496.00000,1124.00000,268.00000,8.00000,18.00000,0.00000,40.00000,1170.00000,38.00000,97.00000,890.00000,213.00000,8.00000,12.00000,0.00000,20.00000,592.00000,780.00000
Somerset Precinct 13-003,13-003,63,89,2401,24039,2438A,2403913-003,2403991176,24,13-003,,283,285.00000,213.00000,68.00000,0.00000,0.00000,0.00000,4.00000,219.00000,0.00000,5.00000,160.00000,55.00000,0.00000,0.00000,0.00000,4.00000,107.00000,134.00000
Somerset Precinct 13-002,13-002,127,131,2401,24039,2438A,2403913-002,2403991176,24,13-002,,3768,947.00000,456.00000,477.00000,2.00000,1.00000,1.00000,-5.00000,843.00000,15.00000,35.00000,390.00000,444.00000,2.00000,1.00000,1.00000,-6.00000,183.00000,220.00000
Somerset Precinct 13-001,13-001,44,69,2401,24039,2438A,2403913-001,2403991176,24,13-001,,194,194.00000,158.00000,31.00000,0.00000,0.00000,0.00000,0.00000,151.00000,5.00000,1.00000,122.00000,26.00000,0.00000,0.00000,0.00000,0.00000,72.00000,87.00000
Somerset Precinct 01-002,01-002,826,509,2401,24039,2438A,2403901-002,2403990076,24,01-002,,3078,3097.00000,1592.00000,1298.00000,6.00000,22.00000,5.00000,106.00000,2374.00000,68.00000,220.00000,1321.00000,946.00000,5.00000,14.00000,2.00000,66.00000,1179.00000,1363.00000
Somerset Precinct 01-003,01-003,283,68,2401,24039,2438A,2403901-003,2403990076,24,01-003,2464000,236,238.00000,91.00000,131.00000,0.00000,9.00000,0.00000,0.00000,188.00000,7.00000,18.00000,71.00000,102.00000,0.00000,9.00000,0.00000,0.00000,97.00000,110.00000
Somerset Precinct 15-002,15-002,700,142,2401,24039,2438A,2403915-002,2403991360,24,15-002,,1489,1501.00000,277.00000,1148.00000,0.00000,18.00000,0.00000,14.00000,1279.00000,44.00000,39.00000,244.00000,974.00000,0.00000,13.00000,0.00000,10.00000,320.00000,380.00000
Somerset Precinct 01-001,01-001,385,250,2401,24039,2438A,2403901-001,2403990076,24,01-001,,1255,1259.00000,755.00000,430.00000,2.00000,18.00000,0.00000,12.00000,1043.00000,42.00000,29.00000,643.00000,355.00000,2.00000,14.00000,0.00000,11.00000,557.00000,638.00000
Somerset Precinct 15-001,15-001,444,219,2401,24039,2438A,2403915-001,2403991360,24,15-001,,4314,4329.00000,887.00000,3282.00000,20.00000,22.00000,1.00000,33.00000,3786.00000,84.00000,106.00000,719.00000,2928.00000,17.00000,22.00000,1.00000,31.00000,1327.00000,1493.00000
Worcester Precinct 01-001,01-001,1847,1492,2401,24047,2438B,2404701-001,2404790092,24,01-001,,3093,3105.00000,1457.00000,1520.00000,14.00000,42.00000,0.00000,7.00000,2327.00000,65.00000,54.00000,1170.00000,1095.00000,11.00000,24.00000,0.00000,6.00000,1191.00000,1424.00000
Somerset Precinct 04-001,04-001,302,378,2401,24039,2438A,2403904-001,2403990352,24,04-001,,1109,1115.00000,854.00000,210.00000,3.00000,18.00000,0.00000,5.00000,925.00000,25.00000,12.00000,718.00000,174.00000,3.00000,14.00000,0.00000,3.00000,476.00000,552.00000
Worcester Precinct 01-002,01-002,261,376,2401,24047,2438B,2404701-002,2404790092,24,01-002,,2776,2782.00000,1829.00000,803.00000,7.00000,38.00000,0.00000,42.00000,2079.00000,63.00000,76.00000,1452.00000,545.00000,5.00000,26.00000,0.00000,23.00000,1111.00000,1233.00000
Dorchester Precinct 18-001,18-001,17,17,2401,24019,2437B,2401918-001,2401991596,24,18-001,,73,73.00000,68.00000,0.00000,5.00000,0.00000,0.00000,0.00000,70.00000,0.00000,0.00000,65.00000,0.00000,5.00000,0.00000,0.00000,0.00000,39.00000,89.00000
